pid,email_21,messenger_21,blog_21,cloud_21,call_check_21,service_purchase_21,money_transfer_21,cradit_card_21,agency_purchase_21,machine_purchase_21,phone_owner_21,data_21,dmb_21,agency_21,voice_service_21,data_service_21,use_date_21,brand_21,age_21,school_21,marry_21,salary_21,job_21,religion_21,email_22,messenger_22,blog_22,cloud_22,call_check_22,service_purchase_22,money_transfer_22,cradit_card_22,agency_purchase_22,machine_purchase_22,phone_owner_22,data_22,dmb_22,agency_22,voice_service_22,data_service_22,use_date_22,brand_22,age_22,school_22,marry_22,salary_22,job_22,religion_22,email_23,messenger_23,blog_23,cloud_23,call_check_23,service_purchase_23,money_transfer_23,cradit_card_23,agency_purchase_23,machine_purchase_23,phone_owner_23,data_23,dmb_23,agency_23,voice_service_23,data_service_23,use_date_23,brand_23,age_23,school_23,marry_23,salary_23,job_23,religion_23
66560004,1,1,2,2,2,7,1,2,35,0,4,2,1,2,1,2,18,1,2,3,1,1,2,1,1,1,2,2,2,7,1,2,30,30,4,2,1,2,1,1,8,1,2,3,1,1,2,2,1,1,2,2,2,2,1,1,33,20,4,4,1,2,1,1,18,1,2,3,1,1,2,2
66570001,1,1,2,2,1,7,1,2,50,20,1,2,1,2,1,2,4,1,7,3,4,3,1,1,1,1,2,2,2,7,1,2,40,30,1,2,1,2,2,2,12,1,7,3,4,3,2,2,2,1,2,2,1,7,1,2,50,20,4,2,1,2,2,2,24,1,7,3,4,1,2,2
66580001,2,1,2,2,2,7,2,2,35,10,4,2,1,2,1,2,18,1,8,2,2,5,2,2,1,1,2,2,2,7,2,2,45,20,1,2,1,2,2,2,18,1,8,2,2,4,2,1,2,1,2,2,2,7,2,2,50,17,1,2,1,2,1,2,30,1,8,2,2,5,1,1
66580002,2,1,2,2,2,7,2,2,24,15,4,2,1,2,1,2,4,1,7,2,2,1,2,2,2,1,2,2,2,7,2,2,27,0,4,2,1,2,2,2,16,1,7,2,2,1,2,1,2,1,2,2,2,2,1,1,29,0,4,2,1,2,1,2,16,1,8,2,2,1,2,1
66590002,2,2,2,2,2,7,2,2,25,10,4,1,1,1,2,2,24,1,8,1,2,1,2,1,2,2,2,2,2,7,2,2,26,0,4,1,2,1,2,2,36,1,8,1,3,1,2,1,2,2,2,2,2,7,2,2,16,0,4,2,2,1,2,2,48,1,8,1,3,1,2,1
66630001,1,1,2,2,2,1,2,2,40,0,1,3,1,2,1,2,64,1,6,3,4,5,1,2,1,1,2,2,2,1,2,2,54,0,1,3,1,2,1,1,10,1,6,3,4,4,1,2,1,1,2,2,2,1,2,2,38,0,1,3,1,2,1,1,22,1,6,3,4,4,1,2
66630002,1,1,2,1,2,1,2,2,64,21,1,4,1,3,1,2,22,1,3,4,1,4,1,2,1,1,2,1,2,2,1,1,63,24,1,4,1,3,1,1,34,2,3,4,1,5,1,2,1,1,2,1,2,1,2,2,48,0,1,4,1,3,1,1,46,1,3,4,1,6,1,2
66630004,1,1,2,1,2,1,1,1,58,0,1,3,2,2,1,2,25,3,3,4,1,3,1,1,1,1,2,1,2,2,1,1,58,0,1,3,2,2,1,1,37,3,3,4,1,3,1,2,1,1,2,1,2,1,2,2,46,26,1,4,2,2,1,1,8,3,3,4,1,1,2,2
66640001,1,1,2,2,2,1,2,1,57,0,1,4,1,2,1,2,25,1,5,3,2,5,1,2,1,1,2,2,2,1,1,1,63,0,1,4,1,3,1,2,37,2,5,3,2,5,1,2,1,1,2,2,2,1,2,1,43,0,1,4,1,2,1,1,48,1,6,3,2,5,1,2
66640002,1,1,2,1,2,2,1,1,56,0,1,3,2,3,1,2,25,3,3,4,1,6,1,2,1,1,2,1,2,1,1,1,68,0,1,3,2,3,1,1,37,3,3,4,1,5,1,2,1,1,2,1,2,1,2,1,50,0,1,4,2,2,1,1,8,3,3,4,1,5,1,2
66660001,1,1,2,2,2,1,2,2,55,0,1,3,1,2,1,2,24,1,6,3,4,6,1,2,1,1,2,2,2,1,1,2,53,0,1,3,1,1,1,1,36,2,6,3,4,4,1,2,1,1,2,2,2,1,1,2,90,0,1,3,1,2,1,1,48,1,6,3,4,5,1,2
66660002,1,1,2,1,2,1,1,1,57,0,1,3,2,2,1,2,27,3,3,3,1,2,2,2,1,1,2,1,2,1,1,1,68,0,1,3,2,1,1,1,39,3,3,3,1,5,1,2,1,1,2,1,2,1,1,1,45,26,1,4,2,2,1,1,8,3,3,3,1,1,2,2
66660003,1,1,2,1,2,1,1,1,64,0,1,3,2,3,1,2,33,3,3,3,1,5,1,2,1,1,2,1,2,1,1,1,53,0,1,3,2,1,1,1,45,3,3,3,1,5,1,2,1,1,2,1,2,1,1,1,45,26,1,4,2,2,1,1,8,3,3,3,1,6,1,2
66680001,2,1,2,2,1,7,2,2,37,0,4,3,1,3,1,2,51,1,7,2,4,5,2,1,2,1,2,2,1,7,2,2,38,0,1,3,1,1,1,2,63,1,8,2,4,3,2,1,2,1,2,2,2,7,2,2,38,0,1,3,1,3,1,1,73,1,8,2,2,3,2,1
66720001,1,1,2,2,1,2,1,1,33,0,1,2,1,2,1,2,60,1,6,4,2,7,1,2,1,1,2,2,2,1,1,1,37,0,1,2,2,2,1,1,72,1,6,4,2,7,1,2,1,1,2,2,2,10,1,1,50,0,1,3,2,2,1,2,12,1,6,4,2,14,1,2
66720003,1,1,2,2,1,1,1,1,45,10,4,4,1,2,1,2,8,1,3,4,1,1,2,2,1,1,2,2,2,2,1,1,37,0,4,2,2,2,1,1,60,1,3,4,1,1,2,2,1,1,2,2,2,1,1,1,50,0,4,2,2,2,2,2,6,1,3,4,1,1,2,2
66720005,1,1,2,2,1,7,1,1,33,0,1,2,1,2,1,2,48,1,6,4,2,9,1,2,1,1,2,2,2,2,1,1,37,0,1,2,2,2,1,1,60,1,6,4,2,9,1,2,1,1,2,2,2,1,1,1,30,0,1,2,2,2,2,2,72,1,6,4,2,14,1,2
66720101,1,1,2,2,1,2,1,1,89,0,1,2,1,2,1,2,48,1,3,4,1,5,1,2,1,1,2,2,2,2,1,1,52,0,1,4,2,2,1,1,20,3,4,4,1,5,1,2,1,1,2,2,1,5,1,1,60,0,1,2,2,2,1,1,32,3,4,4,2,7,1,2
66870001,2,1,2,2,1,6,2,2,20,0,1,1,1,1,2,2,60,1,7,3,4,3,1,2,2,1,2,2,1,6,2,2,22,0,1,1,1,1,2,2,75,1,7,3,3,3,1,2,2,1,2,2,2,7,2,2,26,0,1,1,1,1,2,2,84,1,7,3,4,3,1,2
